nct_id,intervention_type,intervention_name
NCT06079983,DRUG,Vinorelbine tartrate injection
NCT06079983,DRUG,Paclitaxel for injection (albumin-bound type)
NCT06079983,DRUG,Docetaxel injection
NCT06079983,DRUG,Eribulin mesylate injection
NCT03796559,DEVICE,Magseed Marker
NCT06035679,DRUG,Pyrotinib and Trastuzumab
NCT04136782,DRUG,Albumin-bound paclitaxel combined with carboplatin
NCT04136782,DRUG,Epirubicin combined with docetaxel
NCT06385990,DRUG,UTD1
NCT06313983,DRUG,Hemay022+AI
NCT06313983,DRUG,Lapatinib+Capecitabine
NCT05181033,DRUG,Lenvatinib + Letrozole
NCT05181033,DRUG,Fulvestrant
NCT06107933,OTHER,Observational only
NCT06874933,DRUG,Neoadjuvant Chemotherapy in Combination with Anlotinib and Benmelstobart
NCT05042687,DRUG,Tc99m sestamibi
NCT05187832,DRUG,AND019 PO QD
NCT06337084,DRUG,MNPR-101-DFO*-89Zr
NCT06337084,DIAGNOSTIC_TEST,PET/CT Diagnostic Imaging
NCT07447700,OTHER,upper body massage
NCT07483307,DRUG,Neoadjuvant endocrine therapy
NCT04652609,OTHER,PRESIONA
NCT07647263,DRUG,THP Regimen (Taxane + Trastuzumab + Pertuzumab)
NCT07647263,DRUG,Trastuzumab Rezetecan (SHR-A1811)
NCT07059104,PROCEDURE,Breast augmentation
NCT07059104,PROCEDURE,Breast reconstruction after mastectomy
NCT05594095,DRUG,PIK3CA inhibitor
NCT05594095,DRUG,AKT inhibitor
NCT05594095,DRUG,Carrelizumab
NCT05594095,DRUG,Famitinib
NCT05594095,DRUG,Fluzoparib
NCT05594095,DRUG,Dalpiciclib
NCT05594095,DRUG,SHR-A1811
NCT05594095,DRUG,Everolimus
NCT05594095,DRUG,Aromatase Inhibitors or Fulvestrant
NCT05594095,DRUG,Goserelin
NCT05594095,DRUG,TPC
NCT05594095,DRUG,Sorafenib
NCT05594095,DRUG,Apatinib
NCT05594095,DRUG,SHR-A1921
NCT05594095,DRUG,SHR-A2102
NCT05594095,DRUG,SHR-A2009
NCT05594095,DRUG,SHR-1167
NCT05594095,DRUG,SHR-6209
NCT05594095,DRUG,bevacizumab
NCT04842812,BIOLOGICAL,"TILs and CAR-TILs targeting HER2, Mesothelin, PSCA, MUC1, Lewis-Y, GPC3, AXL, EGFR, Claudin18.2/6, ROR1, GD1, or B7-H3"
NCT06153836,PROCEDURE,Neurotization Procedure
NCT06153836,OTHER,Questionnaire Administration
NCT06153836,PROCEDURE,Subcutaneous Mastectomy
NCT06253871,DRUG,IAM1363
NCT06913244,BEHAVIORAL,Multidisciplinary Physiotherapy Program (MD Physio)
NCT06913244,BEHAVIORAL,Standard Physiotherapy Care
NCT07162298,OTHER,Dragon Boat Training
NCT07162298,OTHER,Home-based Unsupervised Training
NCT05218044,PROCEDURE,Cryoablation
NCT05900895,DRUG,Olaparib
NCT05900895,DRUG,17b-estradiol
NCT07114601,DRUG,LY4257496
NCT07114601,DRUG,Standard of Care Anticancer Therapies
NCT07114601,DIAGNOSTIC_TEST,LY4257529
NCT06072612,BIOLOGICAL,SV-BR-1-GM
NCT06072612,DRUG,Cyclophosphamide
NCT06072612,DRUG,Interferon infiltration of the inoculation site
NCT06072612,DRUG,Retifanlimab
NCT06072612,DRUG,Treatment of Physician's Choice
NCT05307705,DRUG,LOXO-783
NCT05307705,DRUG,Fulvestrant
NCT05307705,DRUG,Imlunestrant
NCT05307705,DRUG,Abemaciclib
NCT05307705,DRUG,"Anastrozole, Exemestane, or Letrozole"
NCT05307705,DRUG,Paclitaxel
NCT06380751,DRUG,Saruparib (AZD5305)
NCT06380751,DRUG,Camizestrant
NCT06380751,DRUG,Abemaciclib
NCT06380751,DRUG,Ribociclib
NCT06380751,DRUG,Palbociclib
NCT06380751,DRUG,Fulvestrant
NCT06380751,DRUG,Letrozole
NCT06380751,DRUG,Anastrozole
NCT06380751,DRUG,Exemestane
NCT06649565,OTHER,no intervention
NCT04281641,DIAGNOSTIC_TEST,TCHP
NCT05893966,RADIATION,Whole breast irradiation +/- tumor bed boost
NCT04817566,DEVICE,Anodal tDCS
NCT04817566,DEVICE,Sham tDCS
NCT04817566,BEHAVIORAL,Intensive cognitive training
NCT06493864,DRUG,BL-B16D1
NCT07669077,DRUG,Nipocalimab
NCT07669077,OTHER,Breast Milk Sampling
NCT05263570,DRUG,Standard Therapy
NCT07214883,OTHER,No Interventions
NCT04741737,PROCEDURE,reSLNB arm
NCT06507345,OTHER,Opioid Analgesia (OA) [Multimodal analgesia including opioid drugs]
NCT06507345,OTHER,Opioid-Free Analgesia (OFA) [Multimodal analgesia not including opioid drugs]
NCT06405828,BEHAVIORAL,ACCESS Supportive Care
NCT06405828,BEHAVIORAL,Phone sessions
NCT07616453,DRUG,Culmerciclib
NCT07616453,DRUG,Aromatase Inhibitors
NCT05872295,DRUG,IKS014
NCT06959537,DRUG,Cyclophosphamide
NCT06959537,DRUG,Axatilimab (SNDX-6352)
NCT06959537,DRUG,Retifanlimab
NCT06825039,DEVICE,Shockwave therapy
NCT06524895,OTHER,Medical Reiki
NCT06524895,OTHER,Sham Reiki
NCT05432856,BEHAVIORAL,"Time restricted eating, nutrition education, and sedentary time reduction strategies"
NCT07597837,PROCEDURE,Oncoplastic Breast Surgery
NCT07341737,BIOLOGICAL,SL-28
NCT06601621,COMBINATION_PRODUCT,electroacupuncture+ self-acupressure
NCT06601621,COMBINATION_PRODUCT,sham electroacupuncture + sham self-acupressure
NCT06085144,DRUG,Galcanezumab
NCT07106632,DRUG,test-directed treatment: allocated treatment will depend on the PAM50 score result (centrally assessed) : chemo-endocrine therapy or endocrine therapy alone
NCT07106632,DRUG,"In the control arm, the treatment will be as standard of care : chemo-endocrine therapy"
NCT07441733,PROCEDURE,ICG used as a tracer for sentinel lymph node
NCT07441733,PROCEDURE,technetium 99 used as a tracer for sentinel lymph node
NCT05072314,DRUG,lidocaine 2% and 10%
NCT05072314,DRUG,Placebo
NCT03941756,DRUG,Indocyanine Green
NCT03941756,PROCEDURE,Lymphangiography
NCT03941756,PROCEDURE,Lymphovenous Bypass
NCT06631092,BIOLOGICAL,Oral DNA Vaccine
NCT04265872,DRUG,Bortezomib; pembrolizumab and cisplatin injections--bortezomib followed by pembro/cis
NCT05329532,BIOLOGICAL,Modi-1 Moditope
NCT05329532,BIOLOGICAL,Pembrolizumab
NCT05329532,DEVICE,MicronJet600™ microneedle device (NanoPass)
NCT06364267,DRUG,Tamoxifen 10 MG
NCT06364267,DRUG,Exemestane 25 MG
NCT06286267,DIAGNOSTIC_TEST,imaging
NCT06255392,DRUG,Fluzoparib
NCT06255392,DRUG,Apatinib Mesylate
NCT06255392,DRUG,Capecitabine tablets
NCT06255392,DRUG,Vinorelbine Tartrate Oral
NCT06255392,DRUG,Eribulin mesylate injection
NCT06255392,DRUG,Gemcitabine Hydrochloride
NCT06255392,DRUG,Paclitaxel-albumin
NCT04144907,DIETARY_SUPPLEMENT,Phenylalanine intake
NCT05709392,PROCEDURE,Delayed cord clamping and early skin-to-skin contact
NCT05269381,DRUG,Cyclophosphamide
NCT05269381,BIOLOGICAL,Neoantigen Peptide Vaccine
NCT05269381,BIOLOGICAL,Pembrolizumab
NCT05269381,BIOLOGICAL,Sargramostim
NCT05269381,PROCEDURE,Biospecimen Collection
NCT05269381,PROCEDURE,Biopsy
NCT05269381,PROCEDURE,Computed Tomography
NCT05269381,PROCEDURE,Magnetic Resonance Imaging
NCT07281001,DRUG,"T-DXd 5.4 mg/kg, IVD, 1 cycle every 21 days."
NCT06947330,PROCEDURE,Unilateral Erector Spinae group
NCT06947330,PROCEDURE,Unilateral Serratus Anterior group
NCT06195202,DRUG,AIs
NCT06195202,DRUG,OFS+AIs
NCT06195202,DRUG,FUL
NCT07630961,DRUG,68Ga-DFC413
NCT07630961,DRUG,68Ga-NNS309
NCT07572370,OTHER,Deescalation of surveillance
NCT07426822,DRUG,Capivasertib
NCT07426822,DRUG,Loperamide
NCT07426822,DRUG,Fulvestrant
NCT07426822,DRUG,Ceterizine
NCT05704283,DEVICE,Ultrasound Imaging
NCT07318805,DRUG,PF-08032562
NCT07318805,DRUG,Fulvestrant
NCT07318805,DRUG,Cetuximab
NCT07318805,DRUG,Fluorouracil
NCT07318805,DRUG,Oxaliplatin
NCT07318805,DRUG,Leucovorin
NCT07318805,DRUG,Bevacizumab
NCT05579366,DRUG,Rina-S
NCT05579366,DRUG,Carboplatin
NCT05579366,DRUG,Bevacizumab
NCT05579366,DRUG,Pembrolizumab
NCT05462366,OTHER,Sample collection
NCT04925856,OTHER,blood sample
NCT04824027,PROCEDURE,Harmonic motion imaging
NCT06807502,DEVICE,The DM/DIV ScreenCell is the experimental product studied during this research
NCT06500481,PROCEDURE,Biospecimen Collection
NCT06500481,PROCEDURE,Computed Tomography
NCT06500481,RADIATION,Involved-Field Radiation Therapy
NCT06500481,PROCEDURE,Lumbar Puncture
NCT06500481,PROCEDURE,Magnetic Resonance Imaging
NCT06500481,PROCEDURE,Positron Emission Tomography
